////////////////////////////////////////////////////////////////////////////////																																				
//	[ Text  Version ]	1.2.0.1																																		
//	[ 최종 작업자 ]	홍승욱																																		
//	[ 최종 작업일 ]	2011-03-08 2:37 PM																																		
//	[ 작 업 내 용 ]	파워슬래쉬 무기 스킬 구분 오류 수정 및 소울 바리어 강화 마나 사용량 오류 수정																																		
////////////////////////////////////////////////////////////////////////////////																																				
//속성1 [-1(없음). 0(얼음). 1(독). 2(번개). 3(불). 4(땅). 5(바람). 6(물)]																																				
//속성2 [-1(없음). 0(물리). 1(마법)]																																				
// SkillBrand [특정 스킬이 있어야지만 사용이 가능]. 마스터레벨의 경우 액티브 강화 스킬은 선행스킬 조건을 같은 스킬로 넣어야함																																				
// SkillUsetype [0(일반스킬). 1(직책스킬). 3(마스터레벨:패시브). 4(마스터레벨:액티브)]																																				
// 스킬 타입 : [0(일반스킬). 1(버프:아군에게 이로운 효과). 2(디버프:적군에게 해로운 효과). 3(치료:대상을 회복시킴)]																																				
//번호	Name	레벨	데미지	사용마나량	어빌리티	거리	Delay	Eng	Cha	속성	속성2	SkilluseType	SkillBrand	KillCout	길마	부길마	베틀마스터	흑마법사	흑기사	요정	마검사	다크로드	소환술사	레이지파이터	스킬랭크	스킬그룹	필요마스터레벨포인트	소모체력	소모SD	지속시간	필요힘	필요민첩	아이콘번호	스킬 타입	무기 스킬	데미지 구분
11	"파워웨이브"	9	14	5	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
12	"아쿠아플래쉬"	74	80	140	0	6	0	110	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	"블래스트"	80	70	150	0	3	0	150	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	"인페르노"	88	100	200	0	0	0	200	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	"텔레키네시스"	83	0	90	25	6	0	188	0	-1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	"소울바리어"	77	0	70	22	6	0	126	0	-1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
17	"에너지볼"	2	3	1	0	6	0	0	0	-1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	"방어"	0	0	30	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
19	"내려찍기"	0	0	9	0	3	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
20	"찌르기"	0	0	9	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
21	"올려치기"	0	0	8	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
22	"돌려치기"	0	0	9	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
23	"베기"	0	0	10	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
24	"다발"	0	0	5	0	6	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
26	"치료"	8	0	20	0	6	0	100	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
27	"방어력향상"	13	0	30	0	6	0	100	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
28	"공격력향상"	18	0	40	0	6	0	100	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
30	"고블린소환"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	"돌괴물소환"	0	0	70	0	0	0	170	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	"암살자소환"	0	0	110	0	0	0	190	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	"설인대장소환"	0	0	160	0	0	0	230	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	"다크나이트소환"	0	0	200	0	0	0	250	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	"발리소환"	0	0	250	0	0	0	260	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	"솔져소환"	0	0	350	0	0	0	280	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

38	"데쓰포이즌"	96	95	110	7	6	0	243	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
39	"서든아이스"	93	80	100	5	6	0	223	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	"헬버스트"	100	0	180	45	6	0	258	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

41	"회오리베기"	0	0	10	10	2	0	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	"분노의 일격"	170	60	25	20	3	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	"블로우"	160	70	15	12	2	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	"창찌르기"	28	15	8	0	3	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	"스웰라이프"	120	0	22	24	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
49	"레이드 슛"	110	30	9	0	3	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																				
50	"악의불꽃(몬스터)"	60	120	160	0	0	0	100	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	"아이스애로우"	0	105	10	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
52	"관통"	130	70	7	9	6	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	"블러드어택"	0	80	15	20	2	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0

56	"파워슬레쉬"	0	0	15	0	5	0	100	0	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0

60	"포스"	0	10	10	0	4	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	"파이어 버스트"	74	100	25	0	6	0	20	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	"어스 쉐이크"	0	150	0	50	10	10000	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	"셔먼"	98	0	70	30	0	30000	34	400	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	"크리티컬데미지증가"	82	0	50	50	0	0	25	300	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
65	"일렉트릭 스파이크"	92	250	0	100	10	5000	29	340	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	"포스 웨이브"	0	50	10	0	4	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0

73	"광살포"	0	85	130	7	6	0	0	0	-1	-1	0	75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

200	"몬스터소환"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	"마법공격무적"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	"물리공격무적"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
end																																				
